task_name,instance_num,job_name,task_type,status,start_time,end_time,duration,plan_cpu,plan_mem
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,25,j_427562,10,Terminated,302698,302725,27,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,11,j_216084,10,Terminated,237900,237921,21,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,21,j_895625,10,Terminated,302709,302755,46,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,29,j_755115,10,Terminated,648323,648356,33,100,0.1
task_OTg1NjA1OTIxMzA4ODkxNg==,24,j_836289,8,Terminated,216326,216434,108,100,0.59
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,72,j_24610,10,Terminated,561953,561996,43,100,0.1
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,20,j_861722,3,Terminated,605158,605184,26,100,0.77
task_LTI0MjU2NDM0NTE3NDI0MzkwNjE=,100,j_861722,3,Terminated,605159,605268,109,100,0.77
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,61,j_706850,10,Terminated,561969,561998,29,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,21,j_539668,10,Terminated,151579,151605,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_602463,10,Terminated,583587,583611,24,100,0.1
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,20,j_148687,3,Terminated,86788,86845,57,100,0.77
task_LTI0MjU2NDM0NTE3NDI0MzkwNjE=,38,j_699674,3,Terminated,562010,562066,56,100,0.39
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,33,j_506798,8,Terminated,432416,432480,64,100,0.59
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,33,j_4505,8,Terminated,346054,346134,80,100,0.59
task_OTg1NjA1OTIxMzA4ODkxNg==,96,j_4505,8,Terminated,346054,346092,38,100,0.59
task_LTI0MjU2NDM0NTE3NDI0MzkwNjE=,19,j_795846,3,Terminated,670061,670108,47,100,0.39
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,44,j_316089,10,Terminated,475666,475689,23,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,22,j_117149,10,Terminated,302884,302931,47,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,25,j_678944,10,Terminated,302897,302932,35,100,0.1
task_LTI0MjU2NDM0NTE3NDI0MzkwNjE=,44,j_79155,3,Terminated,216500,216574,74,100,0.39
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,44,j_79155,3,Terminated,216500,216534,34,100,0.39
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,19,j_456544,10,Terminated,648503,648551,48,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,28,j_711883,10,Terminated,562117,562152,35,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,18,j_395513,10,Terminated,648526,648552,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,52,j_197053,10,Terminated,562173,562227,54,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,18,j_458069,10,Terminated,648574,648600,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,93,j_703720,10,Terminated,648596,648628,32,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,10,j_155266,10,Terminated,130208,130240,32,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,50,j_131871,10,Terminated,216641,216667,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,81,j_110428,10,Terminated,130267,130298,31,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_55149,10,Terminated,475876,475906,30,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,12,j_94879,10,Terminated,562287,562312,25,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,23,j_836886,10,Terminated,303096,303230,134,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_154960,10,Terminated,562322,562344,22,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,22,j_368842,10,Terminated,130329,130353,24,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_258881,10,Terminated,303141,303165,24,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,70,j_759242,10,Terminated,130346,130378,32,100,0.1
task_ODg3NTU4NTE3NDcxODA4NjA5Ng==,40,j_888101,3,Terminated,303175,303218,43,100,0.39
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_281510,10,Terminated,130388,130413,25,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,34,j_332751,10,Terminated,562393,562430,37,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,10,j_292311,10,Terminated,130399,130590,191,75,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,16,j_682583,10,Terminated,130408,130590,182,75,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,56,j_172653,10,Terminated,562429,562463,34,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,25,j_388654,10,Terminated,476052,476075,23,100,0.1
task_LTg5MTI5MTc1ODQzMjE2MTczMTk=,41,j_119120,3,Terminated,627284,627392,108,100,0.79
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_841272,10,Terminated,238504,238525,21,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,43,j_40657,10,Terminated,476104,476170,66,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,14,j_315782,10,Terminated,130517,130539,22,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,41,j_426421,10,Terminated,562528,562571,43,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,98,j_613030,10,Terminated,130531,130564,33,100,0.1
task_LTc1MTA1ODYwNDQ2OTU2MzYwMzA=,21,j_687281,12,Terminated,195346,195373,27,100,0.39
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,36,j_437869,12,Terminated,108960,109067,107,100,0.79
task_LTI0MjU2NDM0NTE3NDI0MzkwNjE=,36,j_437869,12,Terminated,108960,109160,200,100,0.79
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,72,j_376608,10,Terminated,130564,130590,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,58,j_290785,10,Terminated,562573,562604,31,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,82,j_505381,10,Terminated,303376,303420,44,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,63,j_816509,10,Terminated,562604,562637,33,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,38,j_322719,10,Terminated,217006,217068,62,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,12,j_230119,10,Terminated,562611,562636,25,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,38,j_656230,10,Terminated,130612,130786,174,75,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,16,j_377661,10,Terminated,649017,649042,25,100,0.1
task_LTg5MTI5MTc1ODQzMjE2MTczMTk=,42,j_436628,3,Terminated,217020,217114,94,100,0.79
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,35,j_735815,10,Terminated,562632,562653,21,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,44,j_99568,10,Terminated,562640,562684,44,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,15,j_146180,10,Terminated,649053,649074,21,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_228383,10,Terminated,130658,130683,25,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,30,j_361554,10,Terminated,562666,562696,30,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,44,j_168091,10,Terminated,562684,562724,40,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,27,j_765316,10,Terminated,303502,303527,25,100,0.1
