task_name,instance_num,job_name,task_type,status,start_time,end_time,duration,plan_cpu,plan_mem
1745,17,340,3,Terminated,4909,5006,97,100,0.5404705821447979
1742,27,340,3,Terminated,4909,5026,117,100,0.5404705821447979
1744,37,340,3,Terminated,4909,5049,140,100,0.5404705821447979
1758,10,342,10,Terminated,6247,6437,190,75,1.63383635751818
1800,11,352,10,Terminated,15220,15398,178,40,0.416224471306913
3105,51,579,12,Terminated,14340,14379,39,100,0.5404705821447979
3261,51,624,12,Terminated,36451,36507,56,100,0.5404705821447979
3298,51,633,8,Terminated,39988,40031,43,100,0.5404705821447979
3433,51,675,10,Terminated,56702,56734,32,100,0.5404705821447979
5167,31,994,3,Terminated,19503,19619,116,100,0.5404705821447979
5169,31,994,3,Terminated,19503,19642,139,100,0.5404705821447979
5764,80,1040,3,Terminated,24494,24630,136,100,0.5404705821447979
5765,65,1040,3,Terminated,24494,24669,175,100,0.5404705821447979
5767,35,1040,3,Terminated,24494,24536,42,100,0.5404705821447979
5761,43,1040,3,Terminated,24494,24562,68,100,0.5404705821447979
5776,35,1040,3,Terminated,24494,24552,58,100,0.5404705821447979
5899,62,1064,12,Terminated,34972,35036,64,100,0.5404705821447979
5900,87,1064,12,Terminated,34972,35020,48,100,0.5404705821447979
9007,15,1657,3,Terminated,7523,7637,114,40,0.8107058732171971
9597,47,1757,12,Terminated,2189,2303,114,100,0.5404705821447979
9607,23,1759,8,Terminated,3353,3489,136,100,0.5404705821447979
9606,11,1759,8,Terminated,3353,3487,134,100,0.5404705821447979
9617,23,1759,8,Terminated,3353,3490,137,100,0.5404705821447979
10163,16,1845,10,Terminated,14224,14278,54,100,0.5404705821447979
10181,21,1851,3,Terminated,15647,15692,45,100,0.5404705821447979
10180,11,1851,3,Terminated,15647,15689,42,100,0.5404705821447979
10374,16,1876,8,Terminated,37614,37672,58,100,0.5404705821447979
10493,35,1891,8,Terminated,48296,48341,45,100,0.5404705821447979
10496,19,1891,8,Terminated,48296,48338,42,100,0.5404705821447979
10497,29,1891,8,Terminated,48296,48340,44,100,0.5404705821447979
11108,18,1968,12,Terminated,6059,6079,20,40,0.782750498278673
11298,12,2003,10,Terminated,21997,22184,187,100,0.275412212357311
11729,13,2078,8,Terminated,30674,30741,67,100,0.5404705821447979
11730,15,2078,8,Terminated,30674,30743,69,100,0.5404705821447979
11734,19,2079,3,Terminated,31567,31683,116,100,0.5404705821447979
11733,17,2079,3,Terminated,31567,31683,116,100,0.5404705821447979
11758,35,2085,3,Terminated,36977,37081,104,100,0.5404705821447979
11757,33,2085,3,Terminated,36977,37080,103,100,0.5404705821447979
11774,43,2089,10,Terminated,40574,40662,88,100,0.5404705821447979
11773,41,2089,10,Terminated,40574,40661,87,100,0.5404705821447979
11778,53,2090,8,Terminated,41490,41665,175,100,0.5404705821447979
11777,51,2090,8,Terminated,41490,41664,174,100,0.5404705821447979
12155,11,2166,10,Terminated,45974,46039,65,100,0.5404705821447979
12421,15,2206,3,Terminated,9872,9909,37,100,0.5404705821447979
12420,13,2206,3,Terminated,9872,9902,30,100,0.5404705821447979
12422,17,2206,3,Terminated,9872,9918,46,100,0.5404705821447979
12743,15,2237,10,Terminated,36070,36103,33,100,0.5404705821447979
12742,13,2237,10,Terminated,36070,36101,31,100,0.5404705821447979
12969,11,2267,12,Terminated,26016,26040,24,100,0.5404705821447979
12970,51,2267,12,Terminated,26016,26049,33,100,0.5404705821447979
12965,51,2267,12,Terminated,26016,26039,23,100,0.5404705821447979
15102,36,2548,10,Terminated,16697,16892,195,100,1.07058732171977
16072,11,2662,8,Terminated,25120,25154,34,100,0.5404705821447979
16188,11,2677,3,Terminated,26920,26964,44,100,0.5404705821447979
16913,15,2763,10,Terminated,33375,33399,24,100,0.5404705821447979
16912,15,2763,10,Terminated,33375,33398,23,100,0.5404705821447979
16908,15,2763,10,Terminated,33375,33398,23,100,0.5404705821447979
18264,13,2934,8,Terminated,44956,45005,49,100,0.5404705821447979
18265,15,2934,8,Terminated,44956,45012,56,100,0.5404705821447979
18430,95,2952,3,Terminated,46026,46047,21,100,0.5404705821447979
18432,39,2952,3,Terminated,46026,46046,20,100,0.5404705821447979
18435,55,2952,3,Terminated,46026,46046,20,100,0.5404705821447979
19020,23,3020,3,Terminated,51375,51395,20,100,0.5404705821447979
19025,23,3020,3,Terminated,51375,51395,20,100,0.5404705821447979
19026,23,3020,3,Terminated,51375,51395,20,100,0.5404705821447979
19043,11,3023,10,Terminated,51417,51461,44,100,0.5404705821447979
19044,15,3023,10,Terminated,51417,51468,51,100,0.5404705821447979
19045,17,3023,10,Terminated,51417,51476,59,100,0.5404705821447979
19128,17,3030,12,Terminated,52113,52159,46,100,0.5404705821447979
19129,19,3030,12,Terminated,52113,52166,53,100,0.5404705821447979
